IETCR,FTMES,Sampling30,MBFL
365850,182925,392191,1307304
497092,248546,397015,1323384
704488,352244,397015,1323384
287094,143547,391226,1304088
42796,21398,397015,1323384
478632,239316,392674,1308912
440622,220311,389297,1297656
88020,44010,393156,1310520
139320,69660,390744,1302480
202750,101375,391226,1304088
322778,161389,391226,1304088
381420,190710,393156,1310520
156288,78144,285581,951936
81972,40986,286546,955152
31372,15686,328997,1096656
28512,14256,286546,955152
13940,6970,336233,1120776
14088,7044,283169,943896
49392,24696,330926,1103088
1194,597,287993,959976
10962,5481,293782,979272
18060,9030,311148,1037160
17500,8750,301500,1005000
95900,47950,330444,1101480
13520,6760,326102,1087008
81900,40950,282204,940680
48230,24115,332374,1107912
39962,19981,332374,1107912
26182,13091,332374,1107912
21456,10728,287510,958368
19040,9520,287028,956760
156288,78144,285581,951936
156288,78144,285581,951936
156288,78144,285581,951936
156288,78144,285581,951936
156288,78144,285581,951936
156288,78144,285581,951936
156288,78144,285581,951936
67716,33858,286546,955152
16632,8316,286546,955152
2376,1188,286546,955152
121930,60965,330444,1101480
105644,52822,330926,1103088
104250,52125,335268,1117560
130660,65330,335268,1117560
3546,1773,285098,950328
143000,71500,275933,919776
28320,14160,284616,948720
