IETCR,FTMES,Sampling30,MBFL
547310,273655,377142,1257140
425420,212710,377142,1257140
1073110,536555,377142,1257140
475610,237805,377142,1257140
485170,242585,377142,1257140
542530,271265,377142,1257140
289190,144595,377142,1257140
389570,194785,377142,1257140
1046820,523410,377142,1257140
24516,12258,441288,1470960
8100,4050,437400,1458000
93840,46920,447120,1490400
81120,40560,438048,1460160
363132,181566,466884,1556280
566620,283310,447768,1492560
101536,50768,432864,1442880
555960,277980,439344,1464480
96810,48405,448092,1493640
371254,185627,459108,1530360
5400,2700,437400,1458000
558830,279415,441612,1472040
490332,245166,456516,1521720
121704,60852,448092,1493640
352764,176382,464616,1548720
256802,128401,457164,1523880
65044,32522,458136,1527120
201918,100959,448092,1493640
