1,2,3,4,5,6,7,8,9
0.0036,0.0036,0.2556,0.0024,0.0024,0.003,0.003,0.0018,0.0036
0.002,0.0061,0.0168,0.0054,0.002,0.004,0.002,0.7645,0.002
0.0011,0.0027,0.0403,0.0594,0.0011,0.8653,0.0657,0.0032,0.0058
0.0013,0.0074,0.0289,0.0013,0.0013,0.8723,0.0013,0.7594,0.0013
0.0009,0.0009,0.0204,0.4426,0.0005,0.388,0.0008,0.7303,0.0007
0.0011,0.0011,0.3686,0.0011,0.0011,0.867,0.0011,0.7632,0.0011
0.0004,0.0006,0.0186,0.0002,0.0002,0.0816,0.0004,0.0002,0.0002
0.0007,0.0005,0.0508,0.0005,0.0007,0.0564,0.0007,0.0002,0.0002
0.0002,0.0002,0.0102,0.91,0.0002,0.8538,0.962,0.0002,0.0002
0.0115,0.0115,0.0287,0.0115,0.0115,0.0115,0.0115,0.0172,0.0115
0.0114,0.0114,0.0284,0.017,0.0795,0.0568,0.0455,0.0455,0.0114
0.0114,0.0114,0.0227,0.0114,0.0114,0.0114,0.0114,0.0114,0.0114
0.0172,0.0172,0.046,0.0115,0.0115,0.0115,0.0172,0.0115,0.0115
0.0114,0.0114,0.0739,0.0114,0.0114,0.0114,0.0114,0.0114,0.0114
0.0115,0.0115,0.023,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115
0.0115,0.0115,0.092,0.1034,0.0115,0.023,0.0115,0.7644,0.0115
0.0115,0.0172,0.023,0.0115,0.0115,0.0115,0.0115,0.0172,0.0115
0.0115,0.0115,0.046,0.0115,0.0115,0.0115,0.0115,0.046,0.0115
0.0115,0.0115,0.046,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115
0.0115,0.0115,0.0345,0.023,0.1092,0.0115,0.0115,0.7874,0.023
0.0115,0.0115,0.023,0.0172,0.0115,0.0115,0.0115,0.0115,0.0172
0.0076,0.0076,0.0191,0.0076,0.0076,0.0076,0.0076,0.2443,0.0076
0.0076,0.0076,0.1221,0.0153,0.0076,0.0229,0.0076,0.0153,0.0229
0.0076,0.0076,0.4962,0.0229,0.0153,0.0076,0.0153,0.0076,0.0076
0.187,0.2939,0.3969,0.1145,0.1527,0.8588,0.1412,0.0649,0.1412
0.0153,0.0382,0.1221,0.0916,0.0458,0.0153,0.0153,0.0458,0.0687
0.2099,0.5725,0.6908,0.0954,0.1412,0.8664,0.1336,0.0725,0.1336
0.0115,0.0191,0.1031,0.0115,0.0534,0.0305,0.0458,0.0305,0.0611
0.0076,0.0076,0.2481,0.0076,0.0076,0.0076,0.0076,0.7634,0.0076
0.0153,0.0076,0.1031,0.0076,0.0076,0.0153,0.0153,0.0076,0.0076
0.0687,0.2748,0.9046,0.0496,0.042,0.0344,0.0573,0.0229,0.0496
0.0006,0.0006,0.0081,0.886,0.9373,0.8352,0.9412,0.7346,0.0039
0.0055,0.1398,0.1009,0.0021,0.003,0.0964,0.0034,0.0538,0.0036
0.0002,0.0002,0.0705,0.0002,0.0002,0.0002,0.0002,0.2773,0.0002
