1,2,3,4,5,6,7,8,9
0.0036,0.0036,0.0896,0.0024,0.0024,0.003,0.003,0.0018,0.0036
0.002,0.0061,0.0168,0.0054,0.002,0.004,0.002,0.7645,0.002
0.0011,0.0027,0.0403,0.2248,0.0011,0.8653,0.263,0.0011,0.0021
0.0013,0.0074,0.0289,0.0013,0.0013,0.8723,0.0013,0.7594,0.0013
0.0009,0.0009,0.0204,0.4296,0.0005,0.3762,0.0008,0.7303,0.0007
0.0011,0.0011,0.0497,0.0011,0.0573,0.867,0.0011,0.7632,0.0605
0.0004,0.0006,0.0186,0.0002,0.0002,0.083,0.0004,0.0002,0.0002
0.035,0.035,0.0388,0.0207,0.0275,0.0665,0.0282,0.0089,0.0268
0.0002,0.0002,0.0102,0.91,0.0002,0.8538,0.962,0.0002,0.0002
0.0115,0.0115,0.0287,0.0115,0.0115,0.0115,0.0115,0.0172,0.0115
0.0114,0.0114,0.0284,0.0284,0.3068,0.1477,0.1136,0.1591,0.0114
0.0114,0.0114,0.0227,0.0227,0.0682,0.0114,0.0114,0.0341,0.0341
0.0172,0.0172,0.046,0.0115,0.0115,0.0115,0.0172,0.0115,0.0115
0.0114,0.0114,0.0739,0.0114,0.0114,0.1705,0.0114,0.0795,0.0114
0.0115,0.0115,0.023,0.0115,0.0115,0.0345,0.0115,0.0115,0.0115
0.0115,0.0115,0.0575,0.1034,0.0115,0.0115,0.0115,0.7644,0.046
0.0115,0.0172,0.023,0.0115,0.0115,0.0115,0.0115,0.0402,0.0115
0.0115,0.0115,0.046,0.0115,0.092,0.1494,0.0115,0.1264,0.0115
0.0115,0.0115,0.046,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115
0.0115,0.0115,0.0345,0.1149,0.1782,0.0115,0.0115,0.7874,0.1149
0.0115,0.0115,0.023,0.046,0.0575,0.0345,0.0115,0.023,0.046
0.0076,0.0076,0.0191,0.0076,0.0076,0.0076,0.0687,0.2443,0.0076
0.0076,0.0076,0.1221,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076
0.0076,0.0076,0.3053,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076
0.187,0.2939,0.3969,0.1145,0.1527,0.8588,0.1412,0.0649,0.1412
