1,2,3,4
0.0036,0.0036,0.2521,0.0024
0.002,0.0061,0.0168,0.0054
0.0011,0.0027,0.0403,0.0477
0.0013,0.0074,0.0289,0.0013
0.0009,0.0009,0.0204,0.4426
0.0011,0.0011,0.3676,0.0011
0.0004,0.0006,0.0186,0.0002
0.0007,0.0005,0.051,0.0005
0.0002,0.0002,0.0102,0.91
0.0115,0.0115,0.0287,0.0115
0.0114,0.0114,0.0284,0.017
0.0114,0.0114,0.0227,0.0114
0.0172,0.0172,0.046,0.0115
0.0114,0.0114,0.0739,0.0114
0.0115,0.0115,0.023,0.0115
0.0115,0.0115,0.092,0.1034
0.0115,0.0172,0.023,0.0115
0.0115,0.0115,0.046,0.0115
0.0115,0.0115,0.046,0.0115
0.0115,0.0115,0.0345,0.023
0.0115,0.0115,0.023,0.0172
0.0076,0.0076,0.0191,0.0076
0.0076,0.0076,0.1221,0.0153
0.0076,0.0076,0.4962,0.0229
0.187,0.2939,0.3969,0.1145
0.0153,0.0382,0.1221,0.0916
0.2099,0.5725,0.6908,0.0954
0.0115,0.0191,0.1031,0.0115
0.0076,0.0076,0.2481,0.0076
0.0153,0.0076,0.1031,0.0076
0.0687,0.2748,0.9046,0.0496
0.0006,0.0006,0.0081,0.886
0.0045,0.135,0.1419,0.0015
0.0002,0.0002,0.0697,0.0002
0.0003,0.0003,0.0056,0.0002
0.0006,0.0022,0.0708,0.0003
0.0008,0.0008,0.0201,0.0006
0.0002,0.0003,0.0094,0.4552
0.0002,0.0016,0.0761,0.0002
0.0002,0.0003,0.0133,0.0002
0.0003,0.0023,0.016,0.4583
0.0058,0.0087,0.0116,0.0058
0.0093,0.0093,0.0607,0.0093
0.0284,0.017,0.3011,0.0284
0.773,0.773,0.773,0.5086
0.0229,0.0171,0.3114,0.0171
0.0058,0.0058,0.2907,0.0058
0.5056,0.5056,0.5056,0.8475
0.5714,0.5714,0.5526,0.3496
0.0615,0.2731,0.4577,0.1615
0.0204,0.0459,0.3214,0.801
0.6654,0.6654,0.6654,0.3885
0.0231,0.0231,0.6154,0.2385
0.0074,0.0074,0.0478,0.0074
0.7655,0.7655,0.7655,0.5177
0.0088,0.0088,0.2389,0.8319
0.7299,0.7299,0.7299,0.5182
0.011,0.011,0.2279,0.3382
0.012,0.0241,0.1807,0.6024
0.0102,0.0102,0.1276,0.0102
0.0909,0.0909,0.2727,0.0909
0.0291,0.0922,0.7573,0.0194
0.4433,0.0619,0.9072,0.7113
0.0095,0.0095,0.6429,0.0095
0.034,0.034,0.2282,0.0194
0.2216,0.0361,0.2577,0.1546
0.0196,0.0196,0.2059,0.0196
0.2621,0.1117,0.2476,0.2621
0.0095,0.0095,0.6429,0.1667
0.0909,0.0909,0.2727,0.0909
0.0098,0.0098,0.3775,0.0098
0.0096,0.0096,0.1587,0.1538
0.0097,0.0777,0.7282,0.0097
0.0093,0.0187,0.0748,0.0093
0.1321,0.0943,0.0802,0.1132
0.0095,0.0095,0.119,0.0095
0.0194,0.0728,0.2524,0.3592
0.0222,0.0222,0.1444,0.0333
0.0435,0.0435,0.0761,0.0652
0.0204,0.0306,0.0816,0.0204
0.0222,0.0333,0.1333,0.0222
0.0612,0.0816,0.5714,0.0612
0.0227,0.0227,0.1477,0.0227
0.0204,0.0408,0.5714,0.9796
0.8696,0.8696,0.8696,0.7174
0.0217,0.0435,0.2826,0.0652
0.0319,0.0319,0.1064,0.0319
0.0217,0.0217,0.087,0.1522
0.0204,0.0204,0.5918,0.0204
0.0612,0.0816,0.551,0.0612
0.0227,0.0227,0.5795,0.0227
0.0204,0.0408,0.5714,0.0204
0.0204,0.0408,0.5306,0.0204
0.0204,0.0408,0.5714,0.0204
0.0222,0.0222,0.4,0.0444
0.0222,0.0222,0.3556,0.0222
0.0889,0.1444,0.4222,0.0444
0.9333,0.9333,0.9333,0.8333
0.9333,0.9333,0.9333,0.8111
0.4333,0.4778,0.6,0.3556
0.4333,0.4778,0.6,0.3667
0.2444,0.2444,0.1444,0.2222
0.2444,0.2333,0.1444,0.2222
0.0217,0.0217,0.0652,0.0217
0.0349,0.0349,0.1163,0.093
0.1591,0.2159,0.3523,0.1136
0.102,0.5306,0.7653,0.7857
0.0408,0.0714,0.0612,0.1837
0.03,0.03,0.05,0.03
0.06,0.04,0.1,0.75
0.0217,0.0652,0.1087,0.0217
0.2674,0.2442,0.314,0.1628
0.0222,0.0333,0.1333,0.0222
