1,2,3,4,5,6,7,8,9
0.255,0.3926,0.5913,0.1815,0.2088,0.1572,0.2141,0.0931,0.2052
0.0855,0.2443,0.4314,0.0646,0.074,0.0592,0.0707,0.7645,0.0727
0.6819,0.7561,0.5801,0.5164,0.6702,0.8653,0.5949,0.3478,0.5896
0.0699,0.3125,0.4301,0.0565,0.0551,0.8723,0.0538,0.7594,0.0551
0.0536,0.1001,0.134,0.4426,0.0423,0.388,0.0431,0.7303,0.0432
0.7773,0.8173,0.7449,0.5784,0.6649,0.867,0.6703,0.7632,0.6822
0.0266,0.0374,0.0451,0.0226,0.0209,0.012,0.0201,0.0108,0.0217
0.0261,0.0378,0.1425,0.0167,0.0209,0.0165,0.0207,0.0313,0.0219
0.0442,0.0502,0.0684,0.91,0.0336,0.8538,0.962,0.0294,0.0621
0.1954,0.3678,0.2414,0.2644,0.1494,0.092,0.1264,0.1724,0.1609
0.0114,0.0455,0.0341,0.1761,0.0114,0.0909,0.1364,0.0909,0.0114
0.0682,0.0795,0.0682,0.4034,0.3864,0.4091,0.0455,0.3523,0.0455
0.1609,0.3333,0.2931,0.092,0.1149,0.092,0.1379,0.0805,0.1494
0.0114,0.0284,0.0398,0.0114,0.0114,0.0114,0.0114,0.0114,0.0114
0.4195,0.5287,0.3046,0.3103,0.4253,0.2989,0.3966,0.2241,0.3908
0.1379,0.3563,0.4828,0.069,0.1149,0.069,0.0977,0.7644,0.092
0.069,0.2989,0.3103,0.0345,0.0517,0.0345,0.0575,0.0172,0.0632
0.0172,0.1034,0.1379,0.0115,0.046,0.0575,0.0172,0.0115,0.0115
0.0345,0.069,0.0862,0.023,0.023,0.023,0.023,0.023,0.023
0.1782,0.3793,0.2414,0.1149,0.1437,0.2644,0.1667,0.7874,0.1552
0.1149,0.3448,0.3391,0.0747,0.092,0.2874,0.1034,0.2184,0.1034
0.1221,0.1221,0.0191,0.0534,0.0992,0.1527,0.0611,0.0229,0.0611
0.5573,0.6183,0.6031,0.3435,0.416,0.3206,0.4351,0.2366,0.4618
0.0305,0.0496,0.7939,0.4275,0.0191,0.0191,0.0153,0.0115,0.0191
0.187,0.2939,0.3969,0.1145,0.1527,0.8588,0.1412,0.0649,0.1412
0.0115,0.0191,0.0191,0.0611,0.0115,0.2977,0.1374,0.2824,0.1145
0.1679,0.2557,0.2366,0.0611,0.1145,0.8664,0.1031,0.0496,0.1069
0.5878,0.6107,0.5038,0.3588,0.5191,0.3511,0.4809,0.2824,0.5878
0.0534,0.1298,0.1718,0.2977,0.3435,0.1908,0.3282,0.7634,0.0382
0.5878,0.7023,0.7557,0.4046,0.4733,0.3435,0.458,0.145,0.4351
0.0687,0.2748,0.9046,0.0496,0.042,0.0344,0.0573,0.0229,0.0496
0.0273,0.0688,0.0915,0.886,0.9373,0.8352,0.9412,0.7346,0.0195
0.004,0.0147,0.11,0.0049,0.0025,0.0024,0.0028,0.0024,0.0049
0.0791,0.1361,0.1412,0.0498,0.0605,0.0414,0.0607,0.2773,0.063
0.0035,0.0069,0.0122,0.0015,0.0023,0.8327,0.0028,0.7345,0.0028
0.0487,0.0905,0.1084,0.0309,0.0391,0.0249,0.0377,0.0158,0.0368
0.0183,0.0283,0.0423,0.0126,0.0153,0.8372,0.0144,0.0067,0.4591
0.0306,0.0715,0.047,0.4552,0.5197,0.0154,0.523,0.2748,0.5202
0.0061,0.0122,0.1156,0.0248,0.0049,0.8338,0.0295,0.0147,0.0033
0.0157,0.0257,0.0254,0.0491,0.0112,0.0406,0.012,0.0269,0.0117
0.0394,0.1049,0.0921,0.4583,0.029,0.3923,0.5227,0.7357,0.5195
0.0058,0.0087,0.0116,0.0058,0.4249,0.263,0.4277,0.1705,0.0058
0.0888,0.0981,0.0794,0.0607,0.0841,0.1215,0.2056,0.014,0.0748
0.2955,0.3381,0.3807,0.1932,0.2159,0.1335,0.233,0.6619,0.2159
0.773,0.773,0.773,0.5086,0.6437,0.7615,0.6034,0.6609,0.6293
0.0743,0.2857,0.3857,0.0343,0.0514,0.0343,0.0457,0.0229,0.0457
0.0058,0.2616,0.2965,0.0058,0.0058,0.4215,0.0058,0.0233,0.6163
0.5056,0.5056,0.5056,0.8475,0.435,0.7797,0.4237,0.6808,0.435
0.094,0.094,0.0564,0.0564,0.0564,0.7519,0.0639,0.0301,0.0602
0.0462,0.0615,0.2808,0.0385,0.0308,0.0231,0.0385,0.2692,0.0308
0.0306,0.0306,0.3418,0.801,0.0204,0.0204,0.0306,0.648,0.0204
0.6654,0.6654,0.6654,0.3885,0.5038,0.75,0.5423,0.6731,0.5462
0.0308,0.0308,0.7,0.2231,0.0154,0.1538,0.0154,0.1154,0.0308
0.1912,0.1912,0.1728,0.125,0.1618,0.1176,0.1618,0.6912,0.1618
0.7655,0.7655,0.7655,0.5177,0.6637,0.7611,0.6018,0.6858,0.646
0.0973,0.115,0.2389,0.8319,0.9336,0.0619,0.9204,0.7345,0.0796
0.7299,0.7299,0.7299,0.5182,0.5876,0.4343,0.6058,0.2518,0.5985
0.0294,0.0294,0.2868,0.0404,0.0184,0.011,0.1912,0.2757,0.0257
0.5542,0.6145,0.3373,0.6988,0.5422,0.4578,0.5542,0.8193,0.506
0.0102,0.3061,0.5561,0.0102,0.0102,0.0102,0.0102,0.0102,0.0102
0.0909,0.0909,0.2727,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909
0.0485,0.2718,0.7864,0.0194,0.0291,0.0243,0.0194,0.0146,0.0291
0.5876,0.2784,0.8866,0.4639,0.4948,0.4021,0.4948,0.3093,0.5258
0.219,0.3429,0.8333,0.1333,0.1429,0.8333,0.1524,0.3714,0.1429
0.3107,0.3689,0.3883,0.2039,0.2621,0.1845,0.2621,0.1408,0.2427
0.5979,0.3247,0.5825,0.5,0.4845,0.4433,0.5103,0.3247,0.5
